Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,CAPE (Shiller),CAPE    (ERN),SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,Equity Drawdown (Real!)
11,1916,"1,916.83",11/30/1916,11.500,"1,968.14",518.60,389.06,985.74,"1,968.14",11.50,11.50,302.43,20.67,12.0532,12.7044,0.97%,-2.00%,-2.49%,-1.44%,0.97%,0.00%,0.00%,0.58%,-1.74%,0.00%,0.00%,0.37%,"5,591.20",21.33,"5,807.12",0.00,0.000%
12,1916,"1,916.92",12/31/1916,11.600,"1,898.13",522.52,394.11,988.73,"1,898.13",11.60,11.60,295.98,20.67,11.4136,12.0223,-4.39%,-0.11%,0.42%,-0.56%,-4.39%,0.00%,0.00%,-2.98%,-0.86%,0.00%,0.00%,-3.54%,"5,570.63",21.31,"5,800.93",0.00,-4.389%
1,1917,"1,917.00",1/31/1917,11.700,"1,861.44",521.73,392.00,992.23,"1,861.44",11.70,11.70,317.80,20.67,10.9809,11.5692,-2.77%,-1.00%,-1.39%,-0.50%,-2.77%,0.00%,0.00%,6.46%,-0.85%,0.00%,0.00%,-2.42%,"5,774.92",22.27,"5,828.93",0.00,-7.038%
2,1917,"1,917.08",2/28/1917,12.000,"1,767.93",525.98,397.34,995.75,"1,767.93",12.00,12.00,335.21,20.67,10.0632,10.5943,-7.40%,-1.71%,-1.17%,-2.15%,-7.40%,0.00%,0.00%,2.84%,-2.50%,0.00%,0.00%,-6.26%,"5,918.25",24.38,"6,203.80",0.00,-13.915%
3,1917,"1,917.17",3/31/1917,12.000,"1,832.71",515.98,380.95,999.28,"1,832.71",12.00,12.00,372.29,20.67,10.3272,10.8627,3.66%,-1.90%,-4.12%,0.35%,3.66%,0.00%,0.00%,11.06%,0.00%,0.00%,0.00%,2.55%,"6,313.72",25.97,"6,170.45",0.00,-10.761%
4,1917,"1,917.25",4/30/1917,12.600,"1,815.17",515.78,379.58,"1,002.81","1,815.17",12.60,12.60,439.73,20.67,9.6445,10.1363,-5.67%,-4.80%,-5.10%,-4.42%,-5.67%,0.00%,0.00%,12.49%,-4.76%,0.00%,0.00%,-5.50%,"6,156.91",26.29,"6,378.77",0.00,-15.824%
5,1917,"1,917.33",5/31/1917,12.800,"1,763.91",507.23,365.80,"1,006.37","1,763.91",12.80,12.80,415.20,20.67,9.1390,9.5897,-4.34%,-3.19%,-5.14%,-1.21%,-4.34%,0.00%,0.00%,-7.05%,-1.56%,0.00%,0.00%,-4.12%,"6,515.42",28.63,"6,539.06",0.00,-19.479%
6,1917,"1,917.42",6/30/1917,13.000,"1,810.36",504.63,360.98,"1,009.93","1,810.36",13.00,13.00,437.93,20.67,9.1482,9.5929,1.05%,-2.04%,-2.84%,-1.19%,1.05%,0.00%,0.00%,3.85%,-1.54%,0.00%,0.00%,0.43%,"6,795.19",28.68,"6,253.55",0.00,-18.630%
7,1917,"1,917.50",7/31/1917,12.800,"1,771.17",506.83,363.14,"1,013.51","1,771.17",12.80,12.80,473.69,20.67,9.0035,10.0750,-0.64%,2.01%,2.17%,1.92%,-0.64%,0.00%,0.00%,9.85%,1.56%,0.00%,0.00%,-0.11%,"6,766.03",28.68,"6,254.65",0.00,-19.148%
8,1917,"1,917.58",8/31/1917,13.000,"1,729.56",507.84,363.57,"1,017.10","1,729.56",13.00,13.00,487.41,20.67,8.5727,9.5872,-3.85%,-1.34%,-1.42%,-1.19%,-3.85%,0.00%,0.00%,1.31%,-1.54%,0.00%,0.00%,-3.35%,"6,773.63",29.78,"6,457.76",0.00,-22.262%
9,1917,"1,917.67",9/30/1917,13.300,"1,657.31",514.60,372.31,"1,020.70","1,657.31",13.30,13.30,537.73,20.67,7.9508,8.8821,-6.34%,-0.96%,0.10%,-1.91%,-6.34%,0.00%,0.00%,7.84%,-2.26%,0.00%,0.00%,-5.27%,"7,008.69",31.33,"6,537.08",0.00,-27.190%
10,1917,"1,917.75",10/31/1917,13.500,"1,578.45",513.47,369.62,"1,024.31","1,578.45",13.50,13.50,507.39,20.67,7.3871,8.2430,-6.17%,-1.70%,-2.19%,-1.13%,-6.17%,0.00%,0.00%,-7.04%,-1.48%,0.00%,0.00%,-5.28%,"7,398.31",32.98,"6,488.82",0.00,-31.681%
11,1917,"1,917.83",11/30/1917,13.500,"1,457.85",515.09,370.93,"1,027.94","1,457.85",13.50,13.50,575.20,20.67,6.7530,7.5260,-7.64%,0.32%,0.36%,0.35%,-7.64%,0.00%,0.00%,13.36%,0.00%,0.00%,0.00%,-6.05%,"7,810.62",33.84,"6,274.18",0.00,-36.901%
