Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,CAPE (Shiller),CAPE    (ERN),SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,Equity Drawdown (Real!)
11,1907,"1,907.83",11/30/1907,8.944,773.21,417.30,350.01,658.79,773.21,8.94,8.94,66.79,20.67,10.5912,10.5843,-1.33%,1.82%,-1.14%,4.80%,-1.33%,0.00%,0.00%,-4.09%,4.26%,0.00%,0.00%,-0.71%,"9,524.68",18.26,"4,216.94",0.00,-36.864%
12,1907,"1,907.92",12/31/1907,8.753,816.95,408.15,332.92,662.21,816.95,8.75,8.75,69.74,20.67,11.3333,11.3320,7.95%,-0.07%,-2.81%,2.70%,7.95%,0.00%,0.00%,6.68%,2.17%,0.00%,0.00%,6.34%,"9,592.54",18.71,"4,272.48",0.00,-31.843%
1,1908,"1,908.00",1/31/1908,8.658,855.94,409.29,333.31,665.15,855.94,8.66,8.66,67.24,20.67,11.9030,11.9040,5.92%,1.38%,1.22%,1.55%,5.92%,0.00%,0.00%,-2.52%,1.10%,0.00%,0.00%,5.01%,"9,020.21",17.19,"4,156.38",0.00,-27.805%
2,1908,"1,908.08",2/29/1908,8.563,828.84,412.18,336.80,668.10,828.84,8.56,8.56,67.47,20.67,11.5548,11.5547,-2.09%,1.82%,2.17%,1.56%,-2.09%,0.00%,0.00%,1.46%,1.11%,0.00%,0.00%,-1.31%,"8,589.70",16.92,"4,278.86",0.00,-29.314%
3,1908,"1,908.17",3/31/1908,8.563,866.79,421.55,351.01,671.06,866.79,8.56,8.56,73.03,20.67,11.9847,11.9859,4.58%,2.27%,4.22%,0.44%,4.58%,0.00%,0.00%,8.24%,0.00%,0.00%,0.00%,4.11%,"8,703.87",16.89,"4,200.74",0.00,-26.077%
4,1908,"1,908.25",4/30/1908,8.658,917.54,429.22,362.62,674.04,917.54,8.66,8.66,71.41,20.67,12.4489,12.4506,4.69%,0.70%,2.17%,-0.66%,4.69%,0.00%,0.00%,-3.30%,-1.10%,0.00%,0.00%,3.89%,"8,360.00",16.60,"4,281.72",0.00,-22.609%
5,1908,"1,908.33",5/31/1908,8.658,976.28,430.39,363.24,677.02,976.28,8.66,8.66,73.20,20.67,13.0785,13.0792,6.40%,0.27%,0.17%,0.44%,6.40%,0.00%,0.00%,2.51%,0.00%,0.00%,0.00%,5.17%,"8,047.02",16.42,"4,384.92",0.00,-17.654%
6,1908,"1,908.42",6/30/1908,8.658,976.28,427.63,357.20,680.03,976.28,8.66,8.66,77.55,20.67,13.0517,13.0512,0.00%,-0.64%,-1.67%,0.44%,0.00%,0.00%,0.00%,5.94%,0.00%,0.00%,0.00%,-0.13%,"7,651.30",15.84,"4,432.38",0.00,-17.654%
7,1908,"1,908.50",7/31/1908,8.753,"1,016.12",428.34,357.06,683.04,"1,016.12",8.75,8.75,83.35,20.67,13.3455,13.4795,2.95%,-0.92%,-1.12%,-0.65%,2.95%,0.00%,0.00%,6.32%,-1.09%,0.00%,0.00%,2.17%,"7,661.42",16.24,"4,524.23",0.00,-15.226%
8,1908,"1,908.58",8/31/1908,8.753,"1,063.82",427.76,354.74,686.07,"1,063.82",8.75,8.75,85.17,20.67,13.8842,14.0222,4.69%,-0.14%,-0.65%,0.44%,4.69%,0.00%,0.00%,2.18%,0.00%,0.00%,0.00%,3.72%,"7,498.67",16.45,"4,664.07",0.00,-11.247%
9,1908,"1,908.67",9/30/1908,8.753,"1,056.32",427.17,352.43,689.11,"1,056.32",8.75,8.75,87.25,20.67,13.7014,13.8362,-0.71%,-0.14%,-0.65%,0.44%,-0.71%,0.00%,0.00%,2.45%,0.00%,0.00%,0.00%,-0.60%,"7,229.44",15.94,"4,672.34",0.00,-11.873%
10,1908,"1,908.75",10/31/1908,8.849,"1,073.45",428.35,353.08,692.17,"1,073.45",8.85,8.85,85.88,20.67,13.6908,13.8245,0.53%,-0.80%,-0.89%,-0.64%,0.53%,0.00%,0.00%,-2.62%,-1.07%,0.00%,0.00%,0.26%,"7,272.78",16.66,"4,839.63",0.00,-11.405%
11,1908,"1,908.83",11/30/1908,8.944,"1,150.36",428.88,352.64,695.23,"1,150.36",8.94,8.94,86.55,20.67,14.4350,14.5752,6.02%,-0.94%,-1.18%,-0.63%,6.02%,0.00%,0.00%,-0.30%,-1.06%,0.00%,0.00%,4.63%,"7,253.96",16.99,"4,932.75",0.00,-6.068%
12,1908,"1,908.92",12/31/1908,9.039,"1,180.60",430.71,354.37,698.32,"1,180.60",9.04,9.04,87.71,20.67,14.5825,14.7222,1.55%,-0.63%,-0.57%,-0.61%,1.55%,0.00%,0.00%,0.27%,-1.05%,0.00%,0.00%,1.11%,"6,933.15",16.57,"5,016.92",0.00,-4.614%
1,1909,"1,909.00",1/31/1909,8.944,"1,188.83",431.90,355.02,700.44,"1,188.83",8.94,8.94,89.81,20.67,14.7644,14.9014,1.77%,1.34%,1.25%,1.37%,1.77%,0.00%,0.00%,3.48%,1.06%,0.00%,0.00%,1.68%,"6,857.14",17.07,"5,210.02",0.00,-2.927%
2,1909,"1,909.08",2/28/1909,9.039,"1,159.05",433.09,356.17,702.57,"1,159.05",9.04,9.04,92.92,20.67,14.1672,14.3001,-3.53%,-0.78%,-0.73%,-0.75%,-3.53%,0.00%,0.00%,2.38%,-1.05%,0.00%,0.00%,-2.99%,"6,743.91",16.86,"5,216.76",0.00,-6.355%
3,1909,"1,909.17",3/31/1909,9.039,"1,179.23",434.28,357.33,704.71,"1,179.23",9.04,9.04,95.10,20.67,14.3361,14.4696,1.74%,0.28%,0.32%,0.30%,1.74%,0.00%,0.00%,2.34%,0.00%,0.00%,0.00%,1.44%,"6,951.42",17.45,"5,221.35",0.00,-4.724%
4,1909,"1,909.25",4/30/1909,9.229,"1,236.54",435.48,358.49,706.85,"1,236.54",9.23,9.23,98.71,20.67,14.6452,14.7828,2.70%,-1.79%,-1.74%,-1.76%,2.70%,0.00%,0.00%,1.66%,-2.06%,0.00%,0.00%,1.80%,"6,852.48",17.27,"5,224.32",0.00,-2.154%
5,1909,"1,909.33",5/31/1909,9.324,"1,282.12",436.68,359.65,709.00,"1,282.12",9.32,9.32,103.65,20.67,14.9535,15.0923,2.63%,-0.75%,-0.70%,-0.72%,2.63%,0.00%,0.00%,3.94%,-1.02%,0.00%,0.00%,1.95%,"6,731.59",17.49,"5,371.32",0.00,0.000%
6,1909,"1,909.42",6/30/1909,9.419,"1,309.26",437.88,360.82,711.16,"1,309.26",9.42,9.42,108.04,20.67,15.0404,15.1791,1.09%,-0.74%,-0.69%,-0.71%,1.09%,0.00%,0.00%,3.18%,-1.01%,0.00%,0.00%,0.72%,"6,602.93",17.38,"5,422.88",0.00,0.000%
7,1909,"1,909.50",7/31/1909,9.419,"1,332.53",436.38,357.48,713.32,"1,332.53",9.42,9.42,104.12,20.67,15.2315,15.3709,1.78%,-0.34%,-0.93%,0.30%,1.78%,0.00%,0.00%,-3.63%,0.00%,0.00%,0.00%,1.35%,"6,555.94",17.20,"5,390.06",0.00,0.000%
8,1909,"1,909.58",8/31/1909,9.515,"1,369.28",431.69,348.89,715.49,"1,369.28",9.51,9.51,106.34,20.67,15.4176,15.5593,1.73%,-2.06%,-3.38%,-0.70%,1.73%,0.00%,0.00%,1.11%,-1.00%,0.00%,0.00%,0.97%,"6,468.71",17.45,"5,525.81",0.00,0.000%
9,1909,"1,909.67",9/30/1909,9.610,"1,375.31",429.27,344.13,717.67,"1,375.31",9.61,9.61,111.36,20.67,15.2544,15.3931,-0.55%,-1.54%,-2.34%,-0.69%,-0.55%,0.00%,0.00%,3.68%,-0.99%,0.00%,0.00%,-0.76%,"6,406.73",17.10,"5,449.61",0.00,-0.554%
10,1909,"1,909.75",10/31/1909,9.800,"1,385.42",430.94,346.04,719.85,"1,385.42",9.80,9.80,117.66,20.67,14.9888,15.1236,-1.22%,-1.56%,-1.40%,-1.64%,-1.22%,0.00%,0.00%,3.60%,-1.94%,0.00%,0.00%,-1.29%,"6,455.52",16.54,"5,215.73",0.00,-1.769%
11,1909,"1,909.83",11/30/1909,9.895,"1,383.37",427.37,339.45,722.04,"1,383.37",9.90,9.90,123.88,20.67,14.7456,14.8751,-1.11%,-1.78%,-2.85%,-0.66%,-1.11%,0.00%,0.00%,4.27%,-0.96%,0.00%,0.00%,-1.25%,"6,540.12",16.94,"5,256.66",0.00,-2.857%
12,1909,"1,909.92",12/31/1909,9.990,"1,404.54",426.97,338.02,724.24,"1,404.54",9.99,9.99,130.79,20.67,14.7506,14.8790,0.56%,-1.05%,-1.37%,-0.65%,0.56%,0.00%,0.00%,4.57%,-0.95%,0.00%,0.00%,0.24%,"6,622.73",17.38,"5,310.97",0.00,-2.310%
1,1910,"1,910.00",1/31/1910,9.895,"1,379.35",425.44,334.79,727.41,"1,379.35",9.90,9.90,131.44,20.67,14.5479,14.6739,-0.85%,0.60%,0.00%,1.40%,-0.85%,0.00%,0.00%,1.47%,0.96%,0.00%,0.00%,-0.56%,"6,607.05",17.69,"5,401.89",0.00,-3.139%
2,1910,"1,910.08",2/28/1910,9.895,"1,334.94",426.67,335.51,730.60,"1,334.94",9.90,9.90,141.51,20.67,14.0020,14.1218,-3.22%,0.29%,0.22%,0.44%,-3.22%,0.00%,0.00%,7.66%,0.00%,0.00%,0.00%,-2.52%,"6,644.47",16.84,"5,097.27",0.00,-6.258%
3,1910,"1,910.17",3/31/1910,10.085,"1,372.84",426.05,333.30,733.80,"1,372.84",10.09,10.09,142.71,20.67,14.0500,14.1696,0.90%,-2.03%,-2.53%,-1.46%,0.90%,0.00%,0.00%,-1.05%,-1.89%,0.00%,0.00%,0.31%,"6,816.37",17.49,"5,146.32",0.00,-5.415%
4,1910,"1,910.25",4/30/1910,10.181,"1,344.69",427.29,334.03,737.02,"1,344.69",10.18,10.18,130.60,20.67,13.5599,13.6708,-2.97%,-0.65%,-0.72%,-0.50%,-2.97%,0.00%,0.00%,-9.34%,-0.93%,0.00%,0.00%,-2.51%,"6,795.34",17.37,"5,108.33",0.00,-8.220%
5,1910,"1,910.33",5/31/1910,9.990,"1,327.52",427.60,333.29,740.25,"1,327.52",9.99,9.99,127.83,20.67,13.5688,13.6767,0.60%,1.98%,1.68%,2.35%,0.60%,0.00%,0.00%,-0.25%,1.90%,0.00%,0.00%,0.87%,"6,970.03",17.53,"5,011.31",0.00,-7.667%
6,1910,"1,910.42",6/30/1910,9.895,"1,268.74",429.78,335.49,743.49,"1,268.74",9.90,9.90,133.53,20.67,13.0197,13.1225,-3.51%,1.48%,1.63%,1.40%,-3.51%,0.00%,0.00%,5.46%,0.96%,0.00%,0.00%,-2.52%,"6,909.65",17.77,"5,106.54",0.00,-10.907%
7,1910,"1,910.50",7/31/1910,9.895,"1,209.74",431.26,336.59,746.75,"1,209.74",9.90,9.90,131.72,20.67,12.3426,12.4383,-4.65%,0.35%,0.33%,0.44%,-4.65%,0.00%,0.00%,-1.35%,0.00%,0.00%,0.00%,-3.66%,"7,087.98",18.60,"5,194.19",0.00,-15.049%
8,1910,"1,910.58",8/31/1910,9.800,"1,244.32",433.21,338.42,750.03,"1,244.32",9.80,9.80,133.45,20.67,12.7451,12.8435,3.86%,1.43%,1.52%,1.41%,3.86%,0.00%,0.00%,2.30%,0.97%,0.00%,0.00%,3.37%,"7,356.88",19.10,"5,120.78",0.00,-11.773%
9,1910,"1,910.67",9/30/1910,9.705,"1,258.05",436.35,342.13,753.31,"1,258.05",9.70,9.70,124.44,20.67,12.9372,13.0373,2.09%,1.71%,2.09%,1.42%,2.09%,0.00%,0.00%,-5.84%,0.98%,0.00%,0.00%,2.01%,"7,117.25",18.91,"5,222.09",0.00,-9.925%
10,1910,"1,910.75",10/31/1910,9.419,"1,321.27",437.61,342.87,756.61,"1,321.27",9.42,9.42,119.76,20.67,13.9189,14.0281,8.21%,3.33%,3.25%,3.48%,8.21%,0.00%,0.00%,-0.85%,3.03%,0.00%,0.00%,7.23%,"6,976.72",17.69,"4,967.69",0.00,-2.532%
11,1910,"1,910.83",11/30/1910,9.229,"1,325.21",438.88,343.60,759.93,"1,325.21",9.23,9.23,119.06,20.67,14.1645,14.2782,2.37%,2.36%,2.28%,2.51%,2.37%,0.00%,0.00%,1.47%,2.06%,0.00%,0.00%,2.36%,"6,506.47",16.42,"4,925.77",0.00,-0.225%
12,1910,"1,910.92",12/31/1910,9.229,"1,293.60",439.19,342.84,763.26,"1,293.60",9.23,9.23,126.21,20.67,13.7415,13.8521,-2.39%,0.07%,-0.22%,0.44%,-2.39%,0.00%,0.00%,6.00%,0.00%,0.00%,0.00%,-1.90%,"6,356.43",16.58,"5,075.17",0.00,-2.605%
1,1911,"1,911.00",1/31/1911,9.229,"1,330.63",440.47,343.58,765.81,"1,330.63",9.23,9.23,125.30,20.67,14.0492,14.1626,2.86%,0.29%,0.22%,0.33%,2.86%,0.00%,0.00%,-0.72%,0.00%,0.00%,0.00%,2.34%,"6,479.40",17.58,"5,263.99",0.00,0.000%
2,1911,"1,911.08",2/28/1911,8.944,"1,359.21",446.06,351.50,768.36,"1,359.21",8.94,8.94,118.38,20.67,14.7215,14.8386,5.41%,4.50%,5.57%,3.54%,5.41%,0.00%,0.00%,-2.51%,3.19%,0.00%,0.00%,5.22%,"6,331.00",18.08,"5,521.79",0.00,0.000%
3,1911,"1,911.17",3/31/1911,9.039,"1,348.81",447.34,352.61,770.92,"1,348.81",9.04,9.04,112.08,20.67,14.3706,14.4866,-1.81%,-0.77%,-0.74%,-0.72%,-1.81%,0.00%,0.00%,-6.32%,-1.05%,0.00%,0.00%,-1.61%,"6,016.82",17.61,"5,643.26",0.00,-1.809%
4,1911,"1,911.25",4/30/1911,8.753,"1,348.50",446.92,351.02,773.49,"1,348.50",8.75,8.75,113.65,20.67,14.7529,14.8681,3.24%,3.16%,2.80%,3.60%,3.24%,0.00%,0.00%,4.70%,3.26%,0.00%,0.00%,3.22%,"6,115.00",18.32,"5,760.04",0.00,0.000%
5,1911,"1,911.33",5/31/1911,8.753,"1,383.08",441.69,341.82,776.07,"1,383.08",8.75,8.75,115.35,20.67,15.0477,15.1678,2.56%,-1.17%,-2.62%,0.33%,2.56%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,1.81%,"5,924.36",17.86,"5,777.20",0.00,0.000%
6,1911,"1,911.42",6/30/1911,8.753,"1,416.33",444.45,345.23,778.66,"1,416.33",8.75,8.75,128.18,20.67,15.3284,15.4489,2.40%,0.62%,1.00%,0.33%,2.40%,0.00%,0.00%,11.13%,0.00%,0.00%,0.00%,2.04%,"5,818.82",17.86,"5,864.00",0.00,0.000%
7,1911,"1,911.50",7/31/1911,8.849,"1,415.99",445.74,346.36,781.25,"1,415.99",8.85,8.85,131.07,20.67,15.0831,15.1993,-1.10%,-0.79%,-0.75%,-0.74%,-1.10%,0.00%,0.00%,1.15%,-1.07%,0.00%,0.00%,-1.04%,"5,702.29",17.09,"5,711.57",0.00,-1.098%
8,1911,"1,911.58",8/31/1911,9.134,"1,353.91",444.11,342.89,783.86,"1,353.91",9.13,9.13,134.45,20.67,13.8998,14.0024,-7.37%,-3.48%,-4.10%,-2.80%,-7.37%,0.00%,0.00%,-0.62%,-3.13%,0.00%,0.00%,-6.60%,"5,762.21",17.71,"5,839.80",0.00,-8.390%
9,1911,"1,911.67",9/30/1911,9.229,"1,285.64",444.91,343.25,786.47,"1,285.64",9.23,9.23,133.86,20.67,12.9980,13.0875,-6.02%,-0.85%,-0.93%,-0.70%,-6.02%,0.00%,0.00%,-1.46%,-1.03%,0.00%,0.00%,-4.99%,"6,169.33",19.26,"5,914.22",0.00,-13.906%
10,1911,"1,911.75",10/31/1911,9.229,"1,298.62",446.22,344.38,789.09,"1,298.62",9.23,9.23,135.76,20.67,13.0665,13.1539,1.01%,0.29%,0.33%,0.33%,1.01%,0.00%,0.00%,1.42%,0.00%,0.00%,0.00%,0.86%,"6,493.38",19.99,"5,816.15",0.00,-13.037%
11,1911,"1,911.83",11/30/1911,9.134,"1,356.32",446.56,344.02,791.72,"1,356.32",9.13,9.13,137.23,20.67,13.7280,13.8187,5.53%,1.12%,0.93%,1.38%,5.53%,0.00%,0.00%,2.13%,1.04%,0.00%,0.00%,4.64%,"6,437.90",20.34,"5,949.46",0.00,-8.227%
12,1911,"1,911.92",12/31/1911,9.039,"1,367.92",447.38,344.40,794.36,"1,367.92",9.04,9.04,134.96,20.67,13.9293,14.0207,1.92%,1.24%,1.16%,1.39%,1.92%,0.00%,0.00%,-0.62%,1.05%,0.00%,0.00%,1.78%,"6,152.17",20.10,"6,130.11",0.00,-6.467%
1,1912,"1,912.00",1/31/1912,9.134,"1,374.95",449.18,346.29,797.24,"1,374.95",9.13,9.13,141.79,20.67,13.7950,13.8823,-0.53%,-0.64%,-0.50%,-0.68%,-0.53%,0.00%,0.00%,3.97%,-1.04%,0.00%,0.00%,-0.56%,"6,044.74",19.79,"6,124.09",0.00,-6.967%
2,1912,"1,912.08",2/29/1912,9.229,"1,368.47",451.48,348.87,800.13,"1,368.47",9.23,9.23,140.30,20.67,13.5316,13.6155,-1.50%,-0.52%,-0.29%,-0.67%,-1.50%,0.00%,0.00%,-2.07%,-1.03%,0.00%,0.00%,-1.31%,"6,078.78",19.32,"5,925.89",0.00,-8.359%
3,1912,"1,912.17",3/31/1912,9.419,"1,413.59",454.30,352.25,803.03,"1,413.59",9.42,9.42,149.91,20.67,13.6398,13.7230,1.21%,-1.41%,-1.07%,-1.67%,1.21%,0.00%,0.00%,4.69%,-2.02%,0.00%,0.00%,0.68%,"6,159.20",19.86,"5,995.60",0.00,-7.250%
4,1912,"1,912.25",4/30/1912,9.705,"1,463.47",457.37,356.04,805.94,"1,463.47",9.70,9.70,163.91,20.67,13.6544,13.7355,0.48%,-2.28%,-1.90%,-2.59%,0.48%,0.00%,0.00%,6.12%,-2.94%,0.00%,0.00%,-0.07%,"6,117.49",19.69,"5,965.85",0.00,-6.801%
5,1912,"1,912.33",5/31/1912,9.705,"1,464.71",458.45,356.70,808.86,"1,464.71",9.70,9.70,157.89,20.67,13.6170,13.6942,0.09%,0.24%,0.19%,0.36%,0.09%,0.00%,0.00%,-3.67%,0.00%,0.00%,0.00%,0.11%,"6,122.05",18.76,"5,660.15",0.00,-6.722%
6,1912,"1,912.42",6/30/1912,9.610,"1,473.61",458.78,356.17,811.79,"1,473.61",9.61,9.61,159.90,20.67,13.7854,13.8629,1.60%,1.06%,0.84%,1.36%,1.60%,0.00%,0.00%,2.28%,0.99%,0.00%,0.00%,1.49%,"6,115.25",17.47,"5,260.61",0.00,-5.226%
7,1912,"1,912.50",7/31/1912,9.610,"1,481.00",460.12,357.24,814.74,"1,481.00",9.61,9.61,147.63,20.67,13.8029,13.8809,0.50%,0.29%,0.30%,0.36%,0.50%,0.00%,0.00%,-7.67%,0.00%,0.00%,0.00%,0.46%,"6,025.39",16.12,"4,912.45",0.00,-4.751%
8,1912,"1,912.58",8/31/1912,9.705,"1,520.82",459.44,355.14,817.69,"1,520.82",9.70,9.70,148.02,20.67,13.9848,14.0636,1.68%,-1.13%,-1.56%,-0.62%,1.68%,0.00%,0.00%,-0.72%,-0.98%,0.00%,0.00%,1.12%,"5,998.07",16.90,"5,156.93",0.00,-3.149%
9,1912,"1,912.67",9/30/1912,9.800,"1,534.39",461.80,357.78,820.65,"1,534.39",9.80,9.80,141.56,20.67,13.9263,14.0032,-0.09%,-0.46%,-0.23%,-0.61%,-0.09%,0.00%,0.00%,-5.30%,-0.97%,0.00%,0.00%,-0.17%,"5,931.86",16.96,"5,215.73",0.00,-3.233%
10,1912,"1,912.75",10/31/1912,9.800,"1,537.15",462.91,358.49,823.63,"1,537.15",9.80,9.80,143.40,20.67,13.9051,13.9800,0.18%,0.24%,0.20%,0.36%,0.18%,0.00%,0.00%,1.30%,0.00%,0.00%,0.00%,0.19%,"5,941.77",16.31,"4,993.27",0.00,-3.060%
11,1912,"1,912.83",11/30/1912,9.800,"1,525.86",464.53,359.97,826.61,"1,525.86",9.80,9.80,141.04,20.67,13.7495,13.8227,-0.73%,0.35%,0.41%,0.36%,-0.73%,0.00%,0.00%,-1.64%,0.00%,0.00%,0.00%,-0.52%,"5,930.63",16.42,"5,019.50",0.00,-3.772%
12,1912,"1,912.92",12/31/1912,9.705,"1,476.92",465.37,360.24,829.61,"1,476.92",9.70,9.70,140.21,20.67,13.3890,13.4585,-2.26%,1.16%,1.06%,1.35%,-2.26%,0.00%,0.00%,0.39%,0.98%,0.00%,0.00%,-1.58%,"5,961.75",17.89,"5,426.28",0.00,-5.945%
1,1913,"1,913.00",1/31/1913,9.800,"1,470.26",466.73,361.33,833.52,"1,470.26",9.80,9.80,147.31,20.67,13.1481,13.2181,-1.42%,-0.68%,-0.67%,-0.50%,-1.42%,0.00%,0.00%,4.05%,-0.97%,0.00%,0.00%,-1.27%,"6,057.34",18.45,"5,489.61",0.00,-7.278%
2,1913,"1,913.08",2/28/1913,9.800,"1,423.93",468.86,363.20,837.44,"1,423.93",9.80,9.80,153.37,20.67,12.6830,12.7472,-3.15%,0.46%,0.52%,0.47%,-3.15%,0.00%,0.00%,4.11%,0.00%,0.00%,0.00%,-2.43%,"6,135.52",19.43,"5,689.93",0.00,-10.200%
3,1913,"1,913.17",3/31/1913,9.800,"1,402.92",469.46,362.67,841.38,"1,402.92",9.80,9.80,155.25,20.67,12.4435,12.5046,-1.48%,0.13%,-0.14%,0.47%,-1.48%,0.00%,0.00%,1.22%,0.00%,0.00%,0.00%,-1.16%,"6,288.59",19.46,"5,542.56",0.00,-11.525%
4,1913,"1,913.25",4/30/1913,9.800,"1,407.31",469.28,360.95,845.35,"1,407.31",9.80,9.80,157.16,20.67,12.4331,12.4929,0.31%,-0.04%,-0.48%,0.47%,0.31%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.24%,"6,362.36",20.28,"5,690.04",0.00,-11.248%
5,1913,"1,913.33",5/31/1913,9.700,"1,374.92",473.76,366.45,849.33,"1,374.92",9.70,9.70,164.42,20.67,12.2214,12.2783,-1.29%,1.99%,2.57%,1.51%,-1.29%,0.00%,0.00%,5.70%,1.03%,0.00%,0.00%,-0.64%,"6,347.17",21.10,"5,912.67",0.00,-12.397%
6,1913,"1,913.42",6/30/1913,9.800,"1,311.91",474.10,365.51,853.32,"1,311.91",9.80,9.80,172.63,20.67,11.4920,11.5441,-5.56%,-0.95%,-1.27%,-0.55%,-5.56%,0.00%,0.00%,3.92%,-1.02%,0.00%,0.00%,-4.64%,"6,388.11",21.51,"5,969.30",0.00,-17.264%
7,1913,"1,913.50",7/31/1913,9.900,"1,335.88",464.06,348.40,857.34,"1,335.88",9.90,9.90,172.93,20.67,11.5340,11.5845,0.80%,-3.11%,-5.65%,-0.54%,0.80%,0.00%,0.00%,-0.84%,-1.01%,0.00%,0.00%,0.01%,"6,698.88",22.17,"5,845.64",0.00,-16.604%
8,1913,"1,913.58",8/31/1913,9.900,"1,377.79",463.36,345.95,861.38,"1,377.79",9.90,9.90,175.81,20.67,11.8468,11.8971,3.14%,-0.15%,-0.70%,0.47%,3.14%,0.00%,0.00%,1.67%,0.00%,0.00%,0.00%,2.48%,"6,698.02",22.11,"5,809.20",0.00,-13.987%
9,1913,"1,913.67",9/30/1913,10.000,"1,397.06",462.66,343.51,865.43,"1,397.06",10.00,10.00,177.41,20.67,11.8433,11.8925,0.38%,-1.15%,-1.70%,-0.53%,0.38%,0.00%,0.00%,-0.10%,-1.00%,0.00%,0.00%,0.07%,"6,536.16",22.42,"6,016.14",0.00,-13.656%
10,1913,"1,913.75",10/31/1913,10.000,"1,358.84",460.66,339.12,869.51,"1,358.84",10.00,10.00,174.95,20.67,11.4715,11.5165,-2.74%,-0.43%,-1.28%,0.47%,-2.74%,0.00%,0.00%,-1.38%,0.00%,0.00%,0.00%,-2.28%,"6,531.36",22.27,"5,958.70",0.00,-16.019%
11,1913,"1,913.83",11/30/1913,10.100,"1,330.58",467.58,348.05,873.60,"1,330.58",10.10,10.10,177.90,20.67,11.0725,11.1145,-3.05%,0.50%,1.62%,-0.52%,-3.05%,0.00%,0.00%,0.68%,-0.99%,0.00%,0.00%,-2.34%,"6,683.73",23.39,"6,093.20",0.00,-18.579%
12,1913,"1,913.92",12/31/1913,10.000,"1,334.89",473.21,355.12,877.72,"1,334.89",10.00,10.00,176.00,20.67,11.1740,11.2145,1.33%,2.22%,3.05%,1.48%,1.33%,0.00%,0.00%,-0.08%,1.00%,0.00%,0.00%,1.50%,"6,844.13",23.82,"6,037.05",0.00,-17.499%
1,1914,"1,914.00",1/31/1914,10.000,"1,395.59",478.85,362.24,881.11,"1,395.59",10.00,10.00,179.81,20.67,11.6361,11.6785,4.55%,1.19%,2.01%,0.39%,4.55%,0.00%,0.00%,2.17%,0.00%,0.00%,0.00%,3.87%,"6,742.96",23.89,"6,122.44",0.00,-13.747%
2,1914,"1,914.08",2/28/1914,9.900,"1,419.93",481.61,365.31,884.52,"1,419.93",9.90,9.90,179.66,20.67,11.9102,11.9520,2.77%,1.59%,1.87%,1.40%,2.77%,0.00%,0.00%,0.92%,1.01%,0.00%,0.00%,2.53%,"6,491.58",23.50,"6,234.40",0.00,-11.356%
3,1914,"1,914.17",3/31/1914,9.900,"1,399.06",480.62,362.64,887.94,"1,399.06",9.90,9.90,175.26,20.67,11.6855,11.7253,-1.47%,-0.21%,-0.73%,0.39%,-1.47%,0.00%,0.00%,-2.45%,0.00%,0.00%,0.00%,-1.22%,"6,331.31",23.18,"6,280.54",0.00,-12.659%
4,1914,"1,914.25",4/30/1914,9.800,"1,371.35",478.31,357.98,891.37,"1,371.35",9.80,9.80,168.40,20.67,11.5227,11.5598,-0.98%,0.54%,-0.28%,1.41%,-0.98%,0.00%,0.00%,-2.94%,1.02%,0.00%,0.00%,-0.68%,"6,409.58",23.77,"6,339.68",0.00,-13.516%
5,1914,"1,914.33",5/31/1914,9.900,"1,385.73",479.21,358.20,894.82,"1,385.73",9.90,9.90,172.38,20.67,11.4790,11.5152,0.03%,-0.82%,-0.95%,-0.63%,0.03%,0.00%,0.00%,1.33%,-1.01%,0.00%,0.00%,-0.15%,"6,453.56",24.11,"6,363.50",0.00,-13.492%
6,1914,"1,914.42",6/30/1914,9.900,"1,384.77",479.01,356.78,898.28,"1,384.77",9.90,9.90,170.94,20.67,11.4287,11.4621,-0.07%,-0.04%,-0.40%,0.39%,-0.07%,0.00%,0.00%,-0.84%,0.00%,0.00%,0.00%,-0.07%,"6,463.06",24.42,"6,412.20",0.00,-13.552%
7,1914,"1,914.50",7/31/1914,10.000,"1,313.92",477.76,353.77,901.75,"1,313.92",10.00,10.00,179.95,20.67,10.6943,10.7233,-6.07%,-1.26%,-1.83%,-0.62%,-6.07%,0.00%,0.00%,4.22%,-1.00%,0.00%,0.00%,-5.11%,"6,467.43",24.81,"6,487.38",0.00,-18.795%
8,1914,"1,914.58",8/31/1914,10.200,"1,204.61",479.19,354.79,905.24,"1,204.61",10.20,10.20,207.15,20.67,9.5767,9.5994,-10.12%,-1.67%,-1.68%,-1.58%,-10.12%,0.00%,0.00%,12.86%,-1.96%,0.00%,0.00%,-8.43%,"6,815.56",26.57,"6,568.64",0.00,-27.010%
